Mode,Tier,Map,Hero,Role,Win Rate (%),Pick Rate (%)
Competitive,Diamond,hollywood,Junker Queen,TANK,44.6,1.9
Competitive,Diamond,hollywood,Junkrat,DAMAGE,43.5,3.5
Competitive,Diamond,hollywood,Juno,SUPPORT,46.0,3.5
Competitive,Diamond,hollywood,Kiriko,SUPPORT,46.2,36.4
Competitive,Diamond,hollywood,Lifeweaver,SUPPORT,38.3,3.6
Competitive,Diamond,hollywood,Lúcio,SUPPORT,43.5,2.2
Competitive,Diamond,hollywood,Mauga,TANK,48.4,2.5
Competitive,Diamond,hollywood,Mei,DAMAGE,48.6,7.1
Competitive,Diamond,hollywood,Mercy,SUPPORT,50.1,7.3
Competitive,Diamond,hollywood,Mizuki,SUPPORT,46.7,11.4
Competitive,Diamond,hollywood,Moira,SUPPORT,41.3,6.7
Competitive,Diamond,hollywood,Orisa,TANK,45.2,6.6
Competitive,Diamond,hollywood,Pharah,DAMAGE,52.4,4.4
Competitive,Diamond,hollywood,Ramattra,TANK,42.3,2.8
Competitive,Diamond,hollywood,Reaper,DAMAGE,48.5,10.0
Competitive,Diamond,hollywood,Reinhardt,TANK,41.7,4.8
Competitive,Diamond,hollywood,Roadhog,TANK,37.7,7.3
Competitive,Diamond,hollywood,Sigma,TANK,51.4,13.7
Competitive,Diamond,hollywood,Sojourn,DAMAGE,43.0,13.4
Competitive,Diamond,hollywood,Soldier: 76,DAMAGE,48.1,9.4
Competitive,Diamond,hollywood,Sombra,DAMAGE,48.3,3.8
Competitive,Diamond,hollywood,Symmetra,DAMAGE,46.3,2.8
Competitive,Diamond,hollywood,Torbjörn,DAMAGE,45.1,3.9
Competitive,Diamond,hollywood,Tracer,DAMAGE,49.2,13.5
Competitive,Diamond,hollywood,Vendetta,DAMAGE,48.2,3.1
Competitive,Diamond,hollywood,Venture,DAMAGE,53.5,4.3
Competitive,Diamond,hollywood,Widowmaker,DAMAGE,45.1,5.4
Competitive,Diamond,hollywood,Winston,TANK,51.5,20.7
Competitive,Diamond,hollywood,Wrecking Ball,TANK,47.2,3.4
Competitive,Diamond,hollywood,Wuyang,SUPPORT,53.2,17.7
Competitive,Diamond,hollywood,Zarya,TANK,51.9,8.3
Competitive,Diamond,hollywood,Zenyatta,SUPPORT,50.2,14.4
Competitive,Diamond,paraiso,Ana,SUPPORT,54.9,59.2
Competitive,Diamond,paraiso,Anran,DAMAGE,50.5,5.4
Competitive,Diamond,paraiso,Ashe,DAMAGE,46.7,18.4
Competitive,Diamond,paraiso,Baptiste,SUPPORT,39.1,9.4
Competitive,Diamond,paraiso,Bastion,DAMAGE,49.2,3.7
Competitive,Diamond,paraiso,Brigitte,SUPPORT,48.4,5.2
Competitive,Diamond,paraiso,Cassidy,DAMAGE,44.6,24.4
Competitive,Diamond,paraiso,D.Va,TANK,55.6,13.1
Competitive,Diamond,paraiso,Domina,TANK,52.3,6.7
Competitive,Diamond,paraiso,Doomfist,TANK,40.3,7.0
Competitive,Diamond,paraiso,Echo,DAMAGE,54.0,11.0
Competitive,Diamond,paraiso,Emre,DAMAGE,52.8,25.7
Competitive,Diamond,paraiso,Freja,DAMAGE,53.9,6.9
Competitive,Diamond,paraiso,Genji,DAMAGE,53.3,18.3
Competitive,Diamond,paraiso,Hanzo,DAMAGE,49.2,7.6
Competitive,Diamond,paraiso,Hazard,TANK,52.0,4.0
Competitive,Diamond,paraiso,Illari,SUPPORT,53.7,17.6
Competitive,Diamond,paraiso,Jetpack Cat,SUPPORT,52.3,4.7
Competitive,Diamond,paraiso,Junker Queen,TANK,38.9,1.7
Competitive,Diamond,paraiso,Junkrat,DAMAGE,36.1,3.2
Competitive,Diamond,paraiso,Juno,SUPPORT,49.2,4.0
Competitive,Diamond,paraiso,Kiriko,SUPPORT,47.8,38.6
Competitive,Diamond,paraiso,Lifeweaver,SUPPORT,43.8,4.6
Competitive,Diamond,paraiso,Lúcio,SUPPORT,34.2,2.1
Competitive,Diamond,paraiso,Mauga,TANK,48.6,2.8
Competitive,Diamond,paraiso,Mei,DAMAGE,52.7,5.0
Competitive,Diamond,paraiso,Mercy,SUPPORT,44.1,7.5
Competitive,Diamond,paraiso,Mizuki,SUPPORT,47.0,10.8
Competitive,Diamond,paraiso,Moira,SUPPORT,44.7,8.3
Competitive,Diamond,paraiso,Orisa,TANK,36.8,6.1
Competitive,Diamond,paraiso,Pharah,DAMAGE,52.0,5.0
Competitive,Diamond,paraiso,Ramattra,TANK,40.5,1.8
Competitive,Diamond,paraiso,Reaper,DAMAGE,46.1,8.5
Competitive,Diamond,paraiso,Reinhardt,TANK,40.2,3.8
Competitive,Diamond,paraiso,Roadhog,TANK,41.7,8.4
Competitive,Diamond,paraiso,Sigma,TANK,53.8,12.5
Competitive,Diamond,paraiso,Sojourn,DAMAGE,45.8,12.8
Competitive,Diamond,paraiso,Soldier: 76,DAMAGE,46.4,11.3
Competitive,Diamond,paraiso,Sombra,DAMAGE,49.0,4.3
Competitive,Diamond,paraiso,Symmetra,DAMAGE,45.2,2.9
Competitive,Diamond,paraiso,Torbjörn,DAMAGE,43.6,3.8
Competitive,Diamond,paraiso,Tracer,DAMAGE,48.6,11.9
Competitive,Diamond,paraiso,Vendetta,DAMAGE,47.1,3.0
Competitive,Diamond,paraiso,Venture,DAMAGE,53.5,4.1
Competitive,Diamond,paraiso,Widowmaker,DAMAGE,41.3,2.9
Competitive,Diamond,paraiso,Winston,TANK,57.8,22.7
Competitive,Diamond,paraiso,Wrecking Ball,TANK,44.8,4.0
Competitive,Diamond,paraiso,Wuyang,SUPPORT,49.0,15.8
Competitive,Diamond,paraiso,Zarya,TANK,43.3,5.3
Competitive,Diamond,paraiso,Zenyatta,SUPPORT,49.9,12.3
Competitive,Diamond,eichenwalde,Ana,SUPPORT,51.4,60.7
Competitive,Diamond,eichenwalde,Anran,DAMAGE,48.9,5.8
Competitive,Diamond,eichenwalde,Ashe,DAMAGE,46.3,11.7
Competitive,Diamond,eichenwalde,Baptiste,SUPPORT,40.6,8.0
Competitive,Diamond,eichenwalde,Bastion,DAMAGE,45.5,4.7
Competitive,Diamond,eichenwalde,Brigitte,SUPPORT,46.8,4.1
Competitive,Diamond,eichenwalde,Cassidy,DAMAGE,45.6,27.8
Competitive,Diamond,eichenwalde,D.Va,TANK,50.9,7.9
Competitive,Diamond,eichenwalde,Domina,TANK,52.6,7.5
Competitive,Diamond,eichenwalde,Doomfist,TANK,46.7,9.5
Competitive,Diamond,eichenwalde,Echo,DAMAGE,54.2,11.5
Competitive,Diamond,eichenwalde,Emre,DAMAGE,50.8,21.2
Competitive,Diamond,eichenwalde,Freja,DAMAGE,48.2,5.4
Competitive,Diamond,eichenwalde,Genji,DAMAGE,50.7,16.0
Competitive,Diamond,eichenwalde,Hanzo,DAMAGE,45.5,9.8
Competitive,Diamond,eichenwalde,Hazard,TANK,54.4,2.9
Competitive,Diamond,eichenwalde,Illari,SUPPORT,52.6,15.2
Competitive,Diamond,eichenwalde,Jetpack Cat,SUPPORT,52.9,5.7
Competitive,Diamond,eichenwalde,Junker Queen,TANK,48.8,2.2
Competitive,Diamond,eichenwalde,Junkrat,DAMAGE,47.9,4.7
Competitive,Diamond,eichenwalde,Juno,SUPPORT,49.1,3.9
Competitive,Diamond,eichenwalde,Kiriko,SUPPORT,47.0,33.8
Competitive,Diamond,eichenwalde,Lifeweaver,SUPPORT,38.4,3.7
Competitive,Diamond,eichenwalde,Lúcio,SUPPORT,45.4,2.7
Competitive,Diamond,eichenwalde,Mauga,TANK,46.7,2.5
Competitive,Diamond,eichenwalde,Mei,DAMAGE,49.7,7.1
Competitive,Diamond,eichenwalde,Mercy,SUPPORT,48.2,6.6
Competitive,Diamond,eichenwalde,Mizuki,SUPPORT,51.9,13.2
Competitive,Diamond,eichenwalde,Moira,SUPPORT,42.6,7.5
Competitive,Diamond,eichenwalde,Orisa,TANK,44.0,7.8
Competitive,Diamond,eichenwalde,Pharah,DAMAGE,54.1,7.9
Competitive,Diamond,eichenwalde,Ramattra,TANK,44.8,3.4
Competitive,Diamond,eichenwalde,Reaper,DAMAGE,48.5,8.8
Competitive,Diamond,eichenwalde,Reinhardt,TANK,42.5,7.3
Competitive,Diamond,eichenwalde,Roadhog,TANK,44.3,7.8
Competitive,Diamond,eichenwalde,Sigma,TANK,54.4,14.0
Competitive,Diamond,eichenwalde,Sojourn,DAMAGE,44.3,12.9
Competitive,Diamond,eichenwalde,Soldier: 76,DAMAGE,48.7,8.6
Competitive,Diamond,eichenwalde,Sombra,DAMAGE,48.1,3.8
Competitive,Diamond,eichenwalde,Symmetra,DAMAGE,43.3,3.6
Competitive,Diamond,eichenwalde,Torbjörn,DAMAGE,50.4,5.2
Competitive,Diamond,eichenwalde,Tracer,DAMAGE,53.1,13.9
Competitive,Diamond,eichenwalde,Vendetta,DAMAGE,55.0,3.0
Competitive,Diamond,eichenwalde,Venture,DAMAGE,48.2,4.3
Competitive,Diamond,eichenwalde,Widowmaker,DAMAGE,39.5,2.2
Competitive,Diamond,eichenwalde,Winston,TANK,49.6,13.0
Competitive,Diamond,eichenwalde,Wrecking Ball,TANK,50.1,4.3
Competitive,Diamond,eichenwalde,Wuyang,SUPPORT,48.3,17.7
Competitive,Diamond,eichenwalde,Zarya,TANK,49.5,9.9
Competitive,Diamond,eichenwalde,Zenyatta,SUPPORT,52.0,17.1
Competitive,Diamond,blizzard-world,Ana,SUPPORT,54.3,61.0
Competitive,Diamond,blizzard-world,Anran,DAMAGE,49.1,5.4
Competitive,Diamond,blizzard-world,Ashe,DAMAGE,50.8,14.6
Competitive,Diamond,blizzard-world,Baptiste,SUPPORT,41.1,7.2
Competitive,Diamond,blizzard-world,Bastion,DAMAGE,43.7,4.0
Competitive,Diamond,blizzard-world,Brigitte,SUPPORT,43.4,4.3
Competitive,Diamond,blizzard-world,Cassidy,DAMAGE,42.9,22.8
Competitive,Diamond,blizzard-world,D.Va,TANK,51.1,10.0
Competitive,Diamond,blizzard-world,Domina,TANK,55.5,6.1
Competitive,Diamond,blizzard-world,Doomfist,TANK,51.7,9.1
Competitive,Diamond,blizzard-world,Echo,DAMAGE,50.6,6.2
Competitive,Diamond,blizzard-world,Emre,DAMAGE,52.9,24.9
Competitive,Diamond,blizzard-world,Freja,DAMAGE,43.1,6.2
Competitive,Diamond,blizzard-world,Genji,DAMAGE,48.5,17.0
Competitive,Diamond,blizzard-world,Hanzo,DAMAGE,46.7,9.6
Competitive,Diamond,blizzard-world,Hazard,TANK,46.5,2.7
Competitive,Diamond,blizzard-world,Illari,SUPPORT,53.3,15.7
Competitive,Diamond,blizzard-world,Jetpack Cat,SUPPORT,49.6,4.3
Competitive,Diamond,blizzard-world,Junker Queen,TANK,41.0,1.4
Competitive,Diamond,blizzard-world,Junkrat,DAMAGE,43.2,2.8
Competitive,Diamond,blizzard-world,Juno,SUPPORT,48.4,3.9
Competitive,Diamond,blizzard-world,Kiriko,SUPPORT,45.5,39.4
Competitive,Diamond,blizzard-world,Lifeweaver,SUPPORT,38.8,3.5
Competitive,Diamond,blizzard-world,Lúcio,SUPPORT,33.3,2.2
Competitive,Diamond,blizzard-world,Mauga,TANK,40.0,2.6
Competitive,Diamond,blizzard-world,Mei,DAMAGE,45.8,5.0
Competitive,Diamond,blizzard-world,Mercy,SUPPORT,48.3,7.2
Competitive,Diamond,blizzard-world,Mizuki,SUPPORT,48.2,11.3
Competitive,Diamond,blizzard-world,Moira,SUPPORT,43.1,7.7
Competitive,Diamond,blizzard-world,Orisa,TANK,45.7,6.4
Competitive,Diamond,blizzard-world,Pharah,DAMAGE,51.5,3.2
Competitive,Diamond,blizzard-world,Ramattra,TANK,32.3,2.5
Competitive,Diamond,blizzard-world,Reaper,DAMAGE,47.1,7.8
Competitive,Diamond,blizzard-world,Reinhardt,TANK,35.8,4.7
Competitive,Diamond,blizzard-world,Roadhog,TANK,38.6,6.6
Competitive,Diamond,blizzard-world,Sigma,TANK,50.3,15.2
Competitive,Diamond,blizzard-world,Sojourn,DAMAGE,47.8,15.4
Competitive,Diamond,blizzard-world,Soldier: 76,DAMAGE,48.9,11.9
Competitive,Diamond,blizzard-world,Sombra,DAMAGE,47.6,5.4
Competitive,Diamond,blizzard-world,Symmetra,DAMAGE,48.0,2.3
Competitive,Diamond,blizzard-world,Torbjörn,DAMAGE,52.3,5.2
Competitive,Diamond,blizzard-world,Tracer,DAMAGE,46.2,15.9
Competitive,Diamond,blizzard-world,Vendetta,DAMAGE,55.2,2.6
Competitive,Diamond,blizzard-world,Venture,DAMAGE,52.3,3.8
Competitive,Diamond,blizzard-world,Widowmaker,DAMAGE,49.7,8.0
Competitive,Diamond,blizzard-world,Winston,TANK,54.2,22.0
Competitive,Diamond,blizzard-world,Wrecking Ball,TANK,48.2,5.1
Competitive,Diamond,blizzard-world,Wuyang,SUPPORT,50.5,18.5
Competitive,Diamond,blizzard-world,Zarya,TANK,43.7,5.5
Competitive,Diamond,blizzard-world,Zenyatta,SUPPORT,48.7,13.7
Competitive,Diamond,esperanca,Ana,SUPPORT,46.5,46.4
Competitive,Diamond,esperanca,Anran,DAMAGE,49.8,8.2
Competitive,Diamond,esperanca,Ashe,DAMAGE,48.1,6.6
Competitive,Diamond,esperanca,Baptiste,SUPPORT,47.0,4.9
Competitive,Diamond,esperanca,Bastion,DAMAGE,46.0,2.8
Competitive,Diamond,esperanca,Brigitte,SUPPORT,45.3,6.5
Competitive,Diamond,esperanca,Cassidy,DAMAGE,45.9,32.4
Competitive,Diamond,esperanca,D.Va,TANK,48.6,9.3
Competitive,Diamond,esperanca,Domina,TANK,51.0,6.3
Competitive,Diamond,esperanca,Doomfist,TANK,49.8,10.0
Competitive,Diamond,esperanca,Echo,DAMAGE,54.5,6.9
Competitive,Diamond,esperanca,Emre,DAMAGE,53.4,23.2
Competitive,Diamond,esperanca,Freja,DAMAGE,45.1,3.8
Competitive,Diamond,esperanca,Genji,DAMAGE,52.6,16.3
Competitive,Diamond,esperanca,Hanzo,DAMAGE,50.8,3.3
Competitive,Diamond,esperanca,Hazard,TANK,52.0,4.0
Competitive,Diamond,esperanca,Illari,SUPPORT,55.0,10.5
Competitive,Diamond,esperanca,Jetpack Cat,SUPPORT,55.5,5.2
Competitive,Diamond,esperanca,Junker Queen,TANK,49.1,3.4
Competitive,Diamond,esperanca,Junkrat,DAMAGE,56.8,2.1
Competitive,Diamond,esperanca,Juno,SUPPORT,47.0,5.9
Competitive,Diamond,esperanca,Kiriko,SUPPORT,48.1,49.9
Competitive,Diamond,esperanca,Lifeweaver,SUPPORT,45.5,2.5
Competitive,Diamond,esperanca,Lúcio,SUPPORT,53.1,5.9
Competitive,Diamond,esperanca,Mauga,TANK,47.7,3.6
Competitive,Diamond,esperanca,Mei,DAMAGE,48.6,3.9
Competitive,Diamond,esperanca,Mercy,SUPPORT,53.0,4.7
Competitive,Diamond,esperanca,Mizuki,SUPPORT,50.7,18.0
Competitive,Diamond,esperanca,Moira,SUPPORT,49.3,11.8
Competitive,Diamond,esperanca,Orisa,TANK,42.2,6.4
Competitive,Diamond,esperanca,Pharah,DAMAGE,52.1,3.3
Competitive,Diamond,esperanca,Ramattra,TANK,44.4,2.4
Competitive,Diamond,esperanca,Reaper,DAMAGE,47.4,8.8
Competitive,Diamond,esperanca,Reinhardt,TANK,47.3,4.5
Competitive,Diamond,esperanca,Roadhog,TANK,48.1,7.7
Competitive,Diamond,esperanca,Sigma,TANK,54.6,7.8
Competitive,Diamond,esperanca,Sojourn,DAMAGE,48.7,17.3
Competitive,Diamond,esperanca,Soldier: 76,DAMAGE,49.7,14.6
Competitive,Diamond,esperanca,Sombra,DAMAGE,48.8,6.5
Competitive,Diamond,esperanca,Symmetra,DAMAGE,53.0,1.9
Competitive,Diamond,esperanca,Torbjörn,DAMAGE,53.5,2.9
Competitive,Diamond,esperanca,Tracer,DAMAGE,51.0,26.4
Competitive,Diamond,esperanca,Vendetta,DAMAGE,47.6,4.0
Competitive,Diamond,esperanca,Venture,DAMAGE,55.7,3.7
Competitive,Diamond,esperanca,Widowmaker,DAMAGE,38.2,0.8
Competitive,Diamond,esperanca,Winston,TANK,54.7,22.8
Competitive,Diamond,esperanca,Wrecking Ball,TANK,52.5,6.7
Competitive,Diamond,esperanca,Wuyang,SUPPORT,56.0,21.2
Competitive,Diamond,esperanca,Zarya,TANK,43.8,5.1
Competitive,Diamond,esperanca,Zenyatta,SUPPORT,47.8,6.7
Competitive,Diamond,new-queen-street,Ana,SUPPORT,48.5,48.0
Competitive,Diamond,new-queen-street,Anran,DAMAGE,48.6,7.2
Competitive,Diamond,new-queen-street,Ashe,DAMAGE,52.6,6.8
Competitive,Diamond,new-queen-street,Baptiste,SUPPORT,44.0,5.0
Competitive,Diamond,new-queen-street,Bastion,DAMAGE,47.5,3.1
Competitive,Diamond,new-queen-street,Brigitte,SUPPORT,42.8,5.9
Competitive,Diamond,new-queen-street,Cassidy,DAMAGE,43.2,30.1
Competitive,Diamond,new-queen-street,D.Va,TANK,52.6,8.7
Competitive,Diamond,new-queen-street,Domina,TANK,52.5,7.4
Competitive,Diamond,new-queen-street,Doomfist,TANK,50.0,9.7
Competitive,Diamond,new-queen-street,Echo,DAMAGE,49.0,5.5
Competitive,Diamond,new-queen-street,Emre,DAMAGE,52.6,23.8
Competitive,Diamond,new-queen-street,Freja,DAMAGE,46.2,3.2
Competitive,Diamond,new-queen-street,Genji,DAMAGE,48.4,15.1
Competitive,Diamond,new-queen-street,Hanzo,DAMAGE,50.1,4.3
Competitive,Diamond,new-queen-street,Hazard,TANK,54.5,3.9
Competitive,Diamond,new-queen-street,Illari,SUPPORT,53.9,10.9
Competitive,Diamond,new-queen-street,Jetpack Cat,SUPPORT,43.1,4.8
Competitive,Diamond,new-queen-street,Junker Queen,TANK,46.3,3.0
Competitive,Diamond,new-queen-street,Junkrat,DAMAGE,44.8,1.3
Competitive,Diamond,new-queen-street,Juno,SUPPORT,46.1,5.1
Competitive,Diamond,new-queen-street,Kiriko,SUPPORT,46.4,48.8
Competitive,Diamond,new-queen-street,Lifeweaver,SUPPORT,46.7,2.7
Competitive,Diamond,new-queen-street,Lúcio,SUPPORT,53.0,4.8
Competitive,Diamond,new-queen-street,Mauga,TANK,44.8,3.9
Competitive,Diamond,new-queen-street,Mei,DAMAGE,49.2,4.2
Competitive,Diamond,new-queen-street,Mercy,SUPPORT,48.4,4.8
Competitive,Diamond,new-queen-street,Mizuki,SUPPORT,49.9,16.5
Competitive,Diamond,new-queen-street,Moira,SUPPORT,48.0,12.0
Competitive,Diamond,new-queen-street,Orisa,TANK,46.1,7.8
Competitive,Diamond,new-queen-street,Pharah,DAMAGE,51.2,2.9
Competitive,Diamond,new-queen-street,Ramattra,TANK,48.0,2.9
Competitive,Diamond,new-queen-street,Reaper,DAMAGE,48.8,7.8
Competitive,Diamond,new-queen-street,Reinhardt,TANK,45.6,5.6
Competitive,Diamond,new-queen-street,Roadhog,TANK,46.9,8.8
Competitive,Diamond,new-queen-street,Sigma,TANK,51.5,9.5
Competitive,Diamond,new-queen-street,Sojourn,DAMAGE,49.2,18.8
Competitive,Diamond,new-queen-street,Soldier: 76,DAMAGE,54.9,22.5
Competitive,Diamond,new-queen-street,Sombra,DAMAGE,50.9,6.6
Competitive,Diamond,new-queen-street,Symmetra,DAMAGE,51.5,1.4
Competitive,Diamond,new-queen-street,Torbjörn,DAMAGE,50.2,2.9
Competitive,Diamond,new-queen-street,Tracer,DAMAGE,53.0,24.6
Competitive,Diamond,new-queen-street,Vendetta,DAMAGE,51.1,3.3
Competitive,Diamond,new-queen-street,Venture,DAMAGE,57.7,3.5
Competitive,Diamond,new-queen-street,Widowmaker,DAMAGE,43.1,1.1
Competitive,Diamond,new-queen-street,Winston,TANK,54.6,16.6
Competitive,Diamond,new-queen-street,Wrecking Ball,TANK,48.0,6.4
Competitive,Diamond,new-queen-street,Wuyang,SUPPORT,58.5,21.1
Competitive,Diamond,new-queen-street,Zarya,TANK,49.4,5.8
Competitive,Diamond,new-queen-street,Zenyatta,SUPPORT,58.5,9.6
Competitive,Diamond,runasapi,Ana,SUPPORT,46.9,46.1
Competitive,Diamond,runasapi,Anran,DAMAGE,54.3,8.4
Competitive,Diamond,runasapi,Ashe,DAMAGE,41.6,5.6
Competitive,Diamond,runasapi,Baptiste,SUPPORT,46.6,5.2
Competitive,Diamond,runasapi,Bastion,DAMAGE,46.5,3.1
Competitive,Diamond,runasapi,Brigitte,SUPPORT,48.3,6.5
Competitive,Diamond,runasapi,Cassidy,DAMAGE,45.9,33.8
Competitive,Diamond,runasapi,D.Va,TANK,56.0,8.2
Competitive,Diamond,runasapi,Domina,TANK,51.6,7.7
Competitive,Diamond,runasapi,Doomfist,TANK,50.2,9.9
Competitive,Diamond,runasapi,Echo,DAMAGE,52.1,4.9
Competitive,Diamond,runasapi,Emre,DAMAGE,53.6,23.5
Competitive,Diamond,runasapi,Freja,DAMAGE,54.6,3.0
Competitive,Diamond,runasapi,Genji,DAMAGE,51.9,14.4
Competitive,Diamond,runasapi,Hanzo,DAMAGE,44.7,3.5
Competitive,Diamond,runasapi,Hazard,TANK,52.7,3.8
Competitive,Diamond,runasapi,Illari,SUPPORT,55.2,10.9
Competitive,Diamond,runasapi,Jetpack Cat,SUPPORT,44.1,4.6
Competitive,Diamond,runasapi,Junker Queen,TANK,51.4,3.6
Competitive,Diamond,runasapi,Junkrat,DAMAGE,43.9,1.8
Competitive,Diamond,runasapi,Juno,SUPPORT,49.9,6.1
Competitive,Diamond,runasapi,Kiriko,SUPPORT,47.7,48.0
Competitive,Diamond,runasapi,Lifeweaver,SUPPORT,44.6,2.3
Competitive,Diamond,runasapi,Lúcio,SUPPORT,46.9,5.7
Competitive,Diamond,runasapi,Mauga,TANK,51.1,3.8
Competitive,Diamond,runasapi,Mei,DAMAGE,48.3,4.9
Competitive,Diamond,runasapi,Mercy,SUPPORT,48.3,3.9
Competitive,Diamond,runasapi,Mizuki,SUPPORT,53.3,18.3
Competitive,Diamond,runasapi,Moira,SUPPORT,48.1,13.3
Competitive,Diamond,runasapi,Orisa,TANK,46.9,8.0
Competitive,Diamond,runasapi,Pharah,DAMAGE,43.8,3.3
Competitive,Diamond,runasapi,Ramattra,TANK,46.1,3.2
Competitive,Diamond,runasapi,Reaper,DAMAGE,50.0,8.0
Competitive,Diamond,runasapi,Reinhardt,TANK,48.7,5.6
Competitive,Diamond,runasapi,Roadhog,TANK,45.8,7.8
Competitive,Diamond,runasapi,Sigma,TANK,55.6,9.4
Competitive,Diamond,runasapi,Sojourn,DAMAGE,49.5,18.9
Competitive,Diamond,runasapi,Soldier: 76,DAMAGE,50.0,17.0
Competitive,Diamond,runasapi,Sombra,DAMAGE,49.2,5.9
Competitive,Diamond,runasapi,Symmetra,DAMAGE,43.4,1.8
Competitive,Diamond,runasapi,Torbjörn,DAMAGE,50.1,2.8
Competitive,Diamond,runasapi,Tracer,DAMAGE,53.1,27.3
Competitive,Diamond,runasapi,Vendetta,DAMAGE,48.8,3.3
Competitive,Diamond,runasapi,Venture,DAMAGE,59.9,3.9
Competitive,Diamond,runasapi,Widowmaker,DAMAGE,35.3,0.7
Competitive,Diamond,runasapi,Winston,TANK,51.1,16.7
Competitive,Diamond,runasapi,Wrecking Ball,TANK,44.3,5.9
Competitive,Diamond,runasapi,Wuyang,SUPPORT,57.5,21.1
Competitive,Diamond,runasapi,Zarya,TANK,44.4,6.2
Competitive,Diamond,runasapi,Zenyatta,SUPPORT,49.9,7.9
Competitive,Diamond,colosseo,Ana,SUPPORT,47.6,52.9
Competitive,Diamond,colosseo,Anran,DAMAGE,54.9,8.1
Competitive,Diamond,colosseo,Ashe,DAMAGE,48.0,9.5
Competitive,Diamond,colosseo,Baptiste,SUPPORT,48.9,6.3
Competitive,Diamond,colosseo,Bastion,DAMAGE,42.2,2.9
Competitive,Diamond,colosseo,Brigitte,SUPPORT,45.6,5.2
Competitive,Diamond,colosseo,Cassidy,DAMAGE,42.5,30.5
Competitive,Diamond,colosseo,D.Va,TANK,48.3,7.8
Competitive,Diamond,colosseo,Domina,TANK,50.2,7.7
Competitive,Diamond,colosseo,Doomfist,TANK,53.3,9.8
Competitive,Diamond,colosseo,Echo,DAMAGE,58.1,6.3
Competitive,Diamond,colosseo,Emre,DAMAGE,50.4,24.5
Competitive,Diamond,colosseo,Freja,DAMAGE,47.5,4.2
Competitive,Diamond,colosseo,Genji,DAMAGE,53.3,15.4
Competitive,Diamond,colosseo,Hanzo,DAMAGE,53.9,5.3
Competitive,Diamond,colosseo,Hazard,TANK,48.5,3.6
Competitive,Diamond,colosseo,Illari,SUPPORT,54.4,12.2
Competitive,Diamond,colosseo,Jetpack Cat,SUPPORT,47.1,4.7
Competitive,Diamond,colosseo,Junker Queen,TANK,56.4,3.2
Competitive,Diamond,colosseo,Junkrat,DAMAGE,52.1,2.0
Competitive,Diamond,colosseo,Juno,SUPPORT,53.8,5.0
Competitive,Diamond,colosseo,Kiriko,SUPPORT,50.3,43.0
Competitive,Diamond,colosseo,Lifeweaver,SUPPORT,44.3,2.5
Competitive,Diamond,colosseo,Lúcio,SUPPORT,53.3,4.3
Competitive,Diamond,colosseo,Mauga,TANK,41.3,3.7
Competitive,Diamond,colosseo,Mei,DAMAGE,51.4,4.3
Competitive,Diamond,colosseo,Mercy,SUPPORT,50.6,4.6
Competitive,Diamond,colosseo,Mizuki,SUPPORT,48.3,17.2
Competitive,Diamond,colosseo,Moira,SUPPORT,44.5,10.2
Competitive,Diamond,colosseo,Orisa,TANK,44.1,7.2
Competitive,Diamond,colosseo,Pharah,DAMAGE,51.1,3.7
Competitive,Diamond,colosseo,Ramattra,TANK,44.7,2.8
Competitive,Diamond,colosseo,Reaper,DAMAGE,51.9,7.9
Competitive,Diamond,colosseo,Reinhardt,TANK,46.2,5.6
Competitive,Diamond,colosseo,Roadhog,TANK,48.3,7.9
Competitive,Diamond,colosseo,Sigma,TANK,50.4,10.8
Competitive,Diamond,colosseo,Sojourn,DAMAGE,46.5,19.1
Competitive,Diamond,colosseo,Soldier: 76,DAMAGE,52.9,11.7
Competitive,Diamond,colosseo,Sombra,DAMAGE,50.1,6.1
Competitive,Diamond,colosseo,Symmetra,DAMAGE,48.4,1.6
Competitive,Diamond,colosseo,Torbjörn,DAMAGE,50.0,2.8
Competitive,Diamond,colosseo,Tracer,DAMAGE,50.8,23.9
Competitive,Diamond,colosseo,Vendetta,DAMAGE,55.0,3.7
Competitive,Diamond,colosseo,Venture,DAMAGE,56.8,3.9
Competitive,Diamond,colosseo,Widowmaker,DAMAGE,44.0,2.7
Competitive,Diamond,colosseo,Winston,TANK,55.7,17.2
Competitive,Diamond,colosseo,Wrecking Ball,TANK,54.7,5.7
Competitive,Diamond,colosseo,Wuyang,SUPPORT,54.3,20.7
Competitive,Diamond,colosseo,Zarya,TANK,46.2,7.2
Competitive,Diamond,colosseo,Zenyatta,SUPPORT,51.0,11.0
Competitive,Master,all-maps,Ana,SUPPORT,51.4,51.5
Competitive,Master,all-maps,Anran,DAMAGE,47.6,4.0
Competitive,Master,all-maps,Ashe,DAMAGE,50.7,9.7
Competitive,Master,all-maps,Baptiste,SUPPORT,45.1,8.9
Competitive,Master,all-maps,Bastion,DAMAGE,47.0,2.4
Competitive,Master,all-maps,Brigitte,SUPPORT,48.9,6.3
Competitive,Master,all-maps,Cassidy,DAMAGE,46.4,27.6
Competitive,Master,all-maps,D.Va,TANK,49.6,6.9
Competitive,Master,all-maps,Domina,TANK,53.5,7.1
Competitive,Master,all-maps,Doomfist,TANK,47.5,9.9
Competitive,Master,all-maps,Echo,DAMAGE,53.6,9.4
Competitive,Master,all-maps,Emre,DAMAGE,53.0,23.5
